names,pred
2021-06-27_10_35_13.066_3460_923.png,coscinodiscus
2021-06-27_14_05_51.211_997_305.png,coscinodiscus
2021-06-29_16_13_35.335_3696_2164.png,coscinodiscus
2021-06-29_21_14_21.670_1988_852.png,coscinodiscus
2021-06-26_15_01_51.881_3141_827.png,coscinodiscus
2021-06-14_21_14_23.207_1620_2742.png,coscinodiscus
2021-06-23_03_50_55.718_3210_896.png,coscinodiscus
2021-06-26_15_33_56.993_2732_2619.png,coscinodiscus
2021-06-26_02_32_28.667_1018_15.png,coscinodiscus
2021-06-24_13_26_11.072_3135_2518.png,coscinodiscus
2021-06-30_09_24_34.641_1242_754.png,hemidiscus
2021-06-27_00_35_12.133_3436_2085.png,coscinodiscus
2021-06-16_18_54_34.049_1207_256.png,coscinodiscus
2021-06-25_09_59_38.001_2256_2838.png,coscinodiscus
2021-06-24_09_26_10.030_2197_1428.png,coscinodiscus
2021-06-26_14_31_48.671_3503_2736.png,coscinodiscus
2021-06-30_05_52_26.704_2539_1958.png,coscinodiscus
2021-06-17_05_27_19.478_1430_2289.png,coscinodiscus
2021-06-24_20_26_57.291_3245_1636.png,coscinodiscus
2021-06-25_18_00_27.135_3236_2120.png,coscinodiscus
2021-06-22_09_44_55.944_2265_905.png,coscinodiscus
2021-06-30_05_53_01.728_231_2417.png,coscinodiscus
2021-06-22_09_45_38.967_2042_1444.png,coscinodiscus
2021-06-22_10_16_59.972_3157_2456.png,coscinodiscus
2021-06-10_23_18_39.458_3227_559.png,coscinodiscus
2021-06-28_04_08_00.318_452_2274.png,coscinodiscus
2021-06-01_17_53_08.479_3679_689.png,coscinodiscus
2021-06-29_01_42_57.757_164_731.png,coscinodiscus
2021-06-25_21_29_38.742_1360_580.png,coscinodiscus
2021-06-20_11_38_05.034_1079_710.png,coscinodiscus
2021-06-12_13_01_03.960_657_75.png,hemidiscus
2021-06-23_19_52_57.635_881_2675.png,coscinodiscus
2021-06-23_05_19_22.197_270_2604.png,coscinodiscus
2021-06-29_22_44_37.237_1815_2648.png,coscinodiscus
2021-06-21_08_12_16.617_30_983.png,coscinodiscus
2021-06-07_10_29_28.811_3235_784.png,compl_guinardia_dactyliosolen
2021-06-25_15_29_46.545_2469_1892.png,coscinodiscus
2021-06-28_06_39_27.748_1273_2847.png,coscinodiscus
2021-06-28_17_11_18.863_3692_4.png,coscinodiscus
2021-06-27_14_06_30.237_812_832.png,coscinodiscus
2021-06-18_22_03_45.442_531_256.png,coscinodiscus
2021-06-24_17_55_14.876_1928_2896.png,coscinodiscus
2021-06-01_16_23_12.932_899_79.png,coscinodiscus
2021-06-28_21_42_45.494_3071_2695.png,coscinodiscus
2021-06-28_14_11_38.873_1472_2680.png,sombra
2021-06-15_01_46_02.760_2028_2219.png,coscinodiscus
2021-06-23_23_22_48.176_1689_1455.png,coscinodiscus
2021-06-29_00_42_38.361_781_1797.png,coscinodiscus
2021-06-17_03_25_22.819_3236_2121.png,coscinodiscus
2021-06-21_08_40_05.698_3310_436.png,coscinodiscus
2021-06-28_08_39_51.235_1095_1587.png,coscinodiscus
2021-06-28_10_39_39.728_2359_790.png,sombra
2021-06-21_21_44_59.908_3379_984.png,coscinodiscus
2021-06-25_07_29_08.160_3270_607.png,coscinodiscus
2021-06-24_10_25_03.902_2912_2131.png,coscinodiscus
2021-06-26_19_04_03.845_2063_391.png,coscinodiscus
2021-06-27_22_39_10.900_902_2090.png,coscinodiscus
2021-06-29_12_12_59.235_11_1848.png,coscinodiscus
2021-06-29_08_14_41.070_578_1299.png,coscinodiscus
2021-06-27_14_36_20.505_877_1134.png,coscinodiscus
2021-06-20_00_37_11.480_1346_484.png,coscinodiscus
2021-06-29_16_16_02.405_2865_2727.png,rhizosolenia_robusta
2021-06-19_14_05_19.866_2808_314.png,coscinodiscus
2021-06-27_21_37_37.427_554_646.png,coscinodiscus
2021-06-24_06_25_44.165_1165_1012.png,coscinodiscus
2021-06-29_00_41_51.339_1277_143.png,coscinodiscus
2021-06-28_15_40_28.595_2853_1193.png,coscinodiscus
2021-06-18_01_29_52.778_2469_1828.png,coscinodiscus
2021-06-15_03_16_06.323_1343_334.png,coscinodiscus
2021-06-15_21_20_28.125_2616_1568.png,coscinodiscus
2021-06-24_10_54_56.102_2556_314.png,coscinodiscus
2021-06-23_10_49_55.302_136_1365.png,coscinodiscus
2021-06-14_06_43_43.404_3176_2463.png,coscinodiscus
2021-06-29_23_14_38.380_1208_362.png,coscinodiscus
2021-06-28_07_40_25.849_3971_992.png,coscinodiscus
2021-06-13_09_05_23.767_1004_1400.png,guinardia_striata
2021-06-24_04_23_50.493_326_1452.png,coscinodiscus
2021-06-16_15_52_27.432_1297_2811.png,coscinodiscus
2021-06-25_19_29_59.364_400_1125.png,coscinodiscus
2021-06-17_14_27_50.149_716_436.png,coscinodiscus
2021-06-27_06_36_10.052_759_2450.png,coscinodiscus
2021-06-14_07_14_07.458_3656_1453.png,coscinodiscus
2021-06-20_12_08_16.208_3432_1255.png,coscinodiscus
2021-06-24_11_54_24.377_1388_1554.png,coscinodiscus
2021-06-29_00_12_53.182_3362_204.png,coscinodiscus
2021-06-29_11_42_46.909_3194_1039.png,coscinodiscus
2021-06-29_14_44_33.844_936_1000.png,coscinodiscus
2021-06-27_03_04_00.718_3165_1430.png,coscinodiscus
2021-06-17_08_26_05.570_2879_1071.png,coscinodiscus
2021-06-14_15_44_07.633_22_2079.png,coscinodiscus
2021-06-25_10_59_46.346_2098_1781.png,coscinodiscus
2021-06-21_19_43_16.467_2403_100.png,coscinodiscus
2021-06-29_05_43_43.104_2672_164.png,coscinodiscus
2021-06-15_07_15_53.854_1003_1710.png,rhizosolenia_robusta
2021-06-09_06_55_41.749_3464_1731.png,coscinodiscus
2021-06-30_14_56_09.883_2693_1789.png,coscinodiscus
2021-06-14_01_12_13.028_3885_2333.png,coscinodiscus
2021-06-26_10_32_15.927_3054_1797.png,coscinodiscus
2021-06-25_00_56_31.018_1246_2858.png,coscinodiscus
2021-06-21_11_41_04.200_1893_844.png,coscinodiscus
2021-06-26_01_30_25.566_1520_1278.png,coscinodiscus
2021-06-27_11_06_13.406_716_239.png,coscinodiscus
2021-06-26_07_02_21.512_2292_1527.png,coscinodiscus
2021-06-18_11_30_23.530_392_1574.png,coscinodiscus
2021-06-25_15_30_00.543_2816_1028.png,coscinodiscus
2021-06-28_21_10_47.207_2817_477.png,coscinodiscus
2021-06-29_07_14_35.612_815_42.png,coscinodiscus
2021-06-25_15_00_40.666_3199_2397.png,coscinodiscus
2021-06-26_06_32_42.353_2282_1872.png,guinardia_striata
2021-06-28_02_08_38.997_1765_257.png,coscinodiscus
2021-06-28_08_40_37.268_268_1192.png,coscinodiscus
2021-06-13_03_33_58.842_70_2635.png,coscinodiscus
2021-06-07_08_58_12.434_179_1236.png,coscinodiscus
2021-06-17_07_56_16.323_3287_293.png,compl_guinardia_dactyliosolen
2021-06-29_22_15_47.292_3585_1257.png,coscinodiscus
2021-06-22_10_16_21.949_1892_1107.png,guinardia_striata
2021-06-15_08_46_12.731_2313_1729.png,coscinodiscus
2021-06-25_05_57_57.732_3256_1696.png,coscinodiscus
2021-06-01_11_21_00.472_3146_956.png,coscinodiscus
2021-06-19_14_34_06.051_3140_2460.png,coscinodiscus
2021-06-13_12_06_22.645_704_777.png,coscinodiscus
2021-06-26_07_33_10.649_11_2247.png,coscinodiscus
2021-06-24_10_26_24.945_3939_995.png,coscinodiscus
2021-06-28_02_07_30.961_892_609.png,coscinodiscus
2021-06-08_21_19_47.722_332_2286.png,coscinodiscus
2021-06-14_03_12_48.077_214_112.png,coscinodiscus
2021-06-28_22_43_12.758_1461_2622.png,coscinodiscus
2021-06-26_05_01_29.252_275_702.png,coscinodiscus
2021-06-29_05_44_01.112_3292_2158.png,coscinodiscus
2021-06-16_08_21_48.682_3968_726.png,coscinodiscus
2021-06-19_10_33_41.290_3110_2241.png,coscinodiscus
2021-06-23_16_21_10.282_3903_1291.png,coscinodiscus
2021-06-29_08_42_53.964_3718_1879.png,coscinodiscus
2021-06-26_08_02_55.524_1493_2830.png,coscinodiscus
2021-06-24_16_25_23.714_3472_2055.png,coscinodiscus
2021-06-16_18_54_07.035_3365_615.png,coscinodiscus
2021-06-23_22_22_02.054_3986_2494.png,coscinodiscus
2021-06-30_14_24_19.614_3888_888.png,coscinodiscus
2021-06-20_10_37_18.041_1834_1359.png,coscinodiscus
2021-06-18_16_32_15.135_282_2623.png,coscinodiscus
2021-06-29_15_44_20.165_1398_445.png,coscinodiscus
2021-06-24_05_54_04.102_3162_256.png,coscinodiscus
2021-06-21_00_39_14.212_3643_2588.png,compl_guinardia_dactyliosolen
2021-06-19_12_03_34.475_976_1636.png,sombra
2021-06-07_11_30_38.856_1428_499.png,coscinodiscus
2021-06-20_15_09_23.868_103_2356.png,coscinodiscus
2021-06-29_00_42_18.352_355_1354.png,coscinodiscus
2021-06-24_03_25_01.085_1165_2753.png,coscinodiscus
2021-06-28_04_09_00.341_3778_1833.png,coscinodiscus
2021-06-29_21_14_14.665_3614_517.png,coscinodiscus
2021-06-24_06_24_57.138_185_2073.png,coscinodiscus
2021-06-26_22_35_36.060_830_1779.png,coscinodiscus
2021-06-27_20_07_44.230_2462_2179.png,coscinodiscus
2021-06-18_05_58_46.693_2299_1652.png,coscinodiscus
2021-06-29_17_44_26.939_655_974.png,coscinodiscus
2021-06-27_23_39_26.439_821_1720.png,coscinodiscus
2021-06-24_19_55_10.961_2295_794.png,coscinodiscus
2021-06-27_22_09_28.677_925_2328.png,coscinodiscus
2021-06-23_11_52_39.085_54_1701.png,coscinodiscus
2021-06-15_04_16_18.273_78_2324.png,coscinodiscus
2021-06-26_17_34_51.460_1889_122.png,coscinodiscus
2021-06-27_14_37_36.544_3764_933.png,coscinodiscus
2021-06-27_15_37_03.857_393_1106.png,coscinodiscus
2021-06-21_19_14_21.307_1116_1382.png,coscinodiscus
2021-06-26_22_35_49.067_1314_1870.png,coscinodiscus
2021-06-28_07_09_04.810_3781_131.png,coscinodiscus
2021-06-26_23_04_39.052_115_1927.png,coscinodiscus
2021-06-17_01_56_27.287_3938_2815.png,rhizosolenia_robusta
2021-06-11_04_19_14.176_3780_18.png,sombra
2021-06-26_11_02_48.119_3318_2818.png,compl_guinardia_dactyliosolen
2021-06-27_07_36_57.488_1397_2404.png,coscinodiscus
2021-06-20_02_37_37.797_1667_2572.png,coscinodiscus
2021-06-28_08_40_49.269_2114_69.png,coscinodiscus
2021-06-29_01_11_01.512_1672_1102.png,coscinodiscus
2021-06-26_20_04_33.419_3330_1326.png,coscinodiscus
2021-06-23_18_52_03.520_2959_2132.png,coscinodiscus
2021-06-16_23_54_44.853_3690_2800.png,coscinodiscus
2021-06-25_22_31_55.157_2719_1992.png,coscinodiscus
2021-06-26_14_32_01.676_1573_287.png,coscinodiscus
